Gene Start (bp)	Gene End (bp)	Chromosome Name	Associated Gene Name
141250989	141355044	HSCHR7_1_CTG6	AGK
141541264	141645718	8	AGO2
36396319	36538101	1	AGO3
32093612	32103496	HSCHR6_MHC_QBL	AGPAT1
32084466	32094350	HSCHR6_MHC_COX	AGPAT1
32142859	32152743	HSCHR6_MHC_SSTO	AGPAT1
32147333	32157217	HSCHR6_MHC_APD	AGPAT1
32175416	32185300	HSCHR6_MHC_MANN	AGPAT1
32175416	32185300	HSCHR6_MHC_MANN	AGPAT1
32175416	32185300	HSCHR6_MHC_MANN	AGPAT1
32135989	32145873	6	AGPAT1
32212421	32222305	HSCHR6_MHC_MCF	AGPAT1
139567595	139581875	9	AGPAT2
45285067	45406417	21	AGPAT3
161551011	161695093	6	AGPAT4
6565878	6617184	8	AGPAT5
41434706	41482520	8	AGPAT6
955503	991496	1	AGRN
5001	40990	LRG_198	LRG_198
148415571	148460795	3	AGTR1
11796141	11814859	1	AGTRAP
247002400	247095280	1	AHCTF1
32868074	32899608	20	AHCY
110527308	110566357	1	AHCYL1
27860546	27930942	1	AHDC1
135604670	135818914	6	AHI1
62201016	62323707	11	AHNAK
77924213	77935817	14	AHSA1
61404553	61418338	2	AHSA2
222841355	222886552	1	AIDA
31570375	31572212	HSCHR6_MHC_COX	AIF1
31565139	31566976	HSCHR6_MHC_DBB	AIF1
31573205	31575042	HSCHR6_MHC_QBL	AIF1
31572910	31574747	HSCHR6_MHC_SSTO	AIF1
31659258	31661095	HSCHR6_MHC_MCF	AIF1
31582961	31584798	6	AIF1
129263337	129299861	X	AIFM1
71857979	71892690	10	AIFM2
143381633	143661441	6	AIG1
107236701	107270383	4	AIMP1
6048876	6063465	7	AIMP2
67250512	67258574	11	AIP
5001	13075	LRG_460	LRG_460
130628759	130640022	9	AK1
33473585	33546597	1	AK2
5001	33907	LRG_133	LRG_133
65613232	65697828	1	AK4
19807615	19881656	17	AKAP10
42846289	42897396	13	AKAP11
1710486	1721407	X	AKAP17A
112542769	112934792	9	AKAP2
15464196	15490609	19	AKAP8
8932686	8941631	11	AKIP1
39456895	39471731	1	AKIRIN1
19630459	19638640	1	AKR7A2
19609052	19615744	1	AKR7A3
105235686	105262088	14	AKT1
50372295	50381716	19	AKT1S1
40736224	40791443	19	AKT2
53524952	53538323	16	AKTIP
116148597	116163613	9	ALAD
97365696	97416463	10	ALDH18A1
75515578	75695358	9	ALDH1A1
101417919	101456831	15	ALDH1A3
112204691	112247782	12	ALDH2
19197926	19229275	1	ALDH4A1
24495080	24537435	6	ALDH5A1
74523553	74551196	14	ALDH6A1
30064411	30081778	16	ALDOA
5083703	5137380	16	ALG1
38710380	38717784	12	ALG10B
50293877	50312106	22	ALG12
101978708	101984238	9	ALG2
183960089	183967336	3	ALG3
37523912	37574398	13	ALG5
77811982	77850706	11	ALG8
111652919	111742305	11	ALG9
111652919	111742304	HG388_HG400_PATCH	ALG9
78138747	78174363	14	ALKBH1
102096685	102105323	7	ALKBH4
18086392	18113268	17	ALKBH5
6372444	6375042	19	ALKBH7
107373452	107436472	11	ALKBH8
73872046	73912703	2	ALMS1P
85359911	85416713	15	ALPK3
79845713	79849462	17	ALYREF
46417964	46615675	11	AMBRA1
111195973	111216916	6	AMD1
2570358	2581423	16	AMDHD2
56395364	56459450	16	AMFR
47469490	47473734	12	AMIGO2
128619204	128643496	2	AMMECR1L
94439597	94609918	11	AMOTL1
10329860	10529126	11	AMPD3
104197912	104207173	1	AMY1A
104159999	104168402	1	AMY2A
104096437	104122156	1	AMY2B
66243690	66253272	HG747_PATCH	AMZ2
66243715	66253297	17	AMZ2
145888264	146019693	4	ANAPC10
79848666	79858867	17	ANAPC11
71817424	71823826	11	ANAPC15
73975787	73995618	10	ANAPC16
140069236	140082989	9	ANAPC2
25378835	25420120	4	ANAPC4
121746048	121837699	12	ANAPC5
121746048	121837699	HG1595_PATCH	ANAPC5
110810705	110841535	12	ANAPC7
21152336	21167130	14	ANG
77253588	77292589	14	ANGEL1
213165524	213189168	1	ANGEL2
10203014	10213472	19	ANGPTL6
113739265	114304896	4	ANK2
5001	570658	LRG_327	LRG_327
65204101	65251042	15	ANKDD1A
9966774	10037410	20	ANKEF1
4067201	4167274	17	ANKFY1
14704910	14871887	5	ANKH
139781399	139929163	5	ANKHD1
139781493	139929154	5	ANKHD1-EIF4EBP3
91875548	92030698	7	ANKIB1
16639401	16685442	7	ANKMY2
111530887	111567416	13	ANKRD10
89334038	89556969	16	ANKRD11
9136226	9285983	18	ANKRD12
110436991	110477568	12	ANKRD13A
27916787	27941779	17	ANKRD13B
70726271	70820417	1	ANKRD13C
67056018	67069956	11	ANKRD13D
73939093	74124515	4	ANKRD17
43064966	43133544	9	ANKRD20A3
69381812	69425560	9	ANKRD20A4
33087913	33167503	19	ANKRD27
15708743	15901278	3	ANKRD28
97779233	97930258	2	ANKRD36
98108978	98206428	2	ANKRD36B
48770551	48785285	17	ANKRD40
82904781	82971736	11	ANKRD42
94226795	94232749	11	ANKRD49
38226862	38245334	22	ANKRD54
34857042	35059179	6	ANKS1A
101493611	101559247	9	ANKS6
69924408	70035634	11	ANO1
43396351	43733086	3	ANO10
45609770	45834187	12	ANO6
69070874	69113236	15	ANP32A
100745643	100778225	9	ANP32B
69240310	69476459	2	ANTXR1
80822303	81046608	4	ANTXR2
75766673	75785309	9	ANXA1
81910645	81965328	10	ANXA11
43039335	43043272	5	ANXA2R
69871557	70053596	2	ANXA4
150480273	150537443	5	ANXA6
75134859	75173834	10	ANXA7
48255253	48279200	10	ANXA8
47955610	47979557	HG1211_PATCH	ANXA8
47157983	47174093	10	ANXA8L1
41003201	41010147	17	AOC3
41017939	41026386	17	AOC4P
113152893	113191203	4	AP1AR
29723669	29819168	22	AP1B1
71762913	71843104	16	AP1G1
24028774	24037279	14	AP1G2
16308389	16346160	19	AP1M1
10683347	10697991	19	AP1M2
100797678	100804877	7	AP1S1
15843929	15873054	X	AP1S2
50270225	50310370	19	AP2A1
924894	1012239	11	AP2A2
183892477	183901879	3	AP2M1
77296349	77590579	5	AP3B1
4950	297379	LRG_170	LRG_170
2100988	2164464	19	AP3D1
75881524	75910821	10	AP3M1
42010464	42029191	8	AP3M2
115177178	115249778	5	AP3S1
114437370	114447823	1	AP4B1
51200869	51298097	15	AP4E1
65543364	65548273	11	AP5B1
57735627	57756797	14	AP5M1
3801178	3805949	20	AP5S1
4815253	4833943	7	AP5Z1
49711435	49721396	3	APEH
20923350	20925927	14	APEX1
55026790	55035490	X	APEX2
150237804	150241980	1	APH1A
150951819	150955995	HG1287_PATCH	APH1A
43333513	43366079	11	API5
34874641	34938046	11	APIP
57001051	57004709	11	APLNR
36358801	36370693	19	APLP1
24943561	24973615	20	APMAP
39410368	39429281	22	APOBEC3D
39436609	39449915	22	APOBEC3F
28505970	28510291	16	APOBR
45417504	45422606	19	APOC1
195295573	195311076	3	APOD
45409011	45412650	19	APOE
36649056	36663576	22	APOL1
5001	19461	LRG_169	LRG_169
36622256	36636000	22	APOL2
36536372	36562225	22	APOL3
23851470	23926057	X	APOO
84258832	84343069	X	APOOL
104029299	104073860	14	APOPT1
58520520	58603580	17	APPBP2
57261765	57307496	3	APPL1
88875747	88878352	16	APRT
32972604	33025166	9	APTX
77300436	77321400	11	AQP11
35147732	35262040	15	AQR
47420516	47431307	X	ARAF
72396114	72504644	11	ARAP1
118443105	118473748	11	ARCN1
118443105	118473748	HG122_PATCH	ARCN1
75120140	75179818	14	AREL1
57557090	57583947	3	ARF4
127228399	127231759	7	ARF5
50359810	50361490	14	ARF6
61904137	61921142	20	ARFGAP1
47185848	47198676	11	ARFGAP2
68085747	68255912	8	ARFGEF1
47538427	47653230	20	ARFGEF2
153701089	153839615	4	ARFIP1
6496910	6502666	11	ARFIP2
62329996	62339377	20	ARFRP1
68086515	68118437	14	ARG2
107194021	107220512	13	ARGLU1
46698630	46722165	11	ARHGAP1
32907345	32932150	15	ARHGAP11A
30916697	31065196	15	ARHGAP11B
32094365	32217742	10	ARHGAP12
24930706	25026987	16	ARHGAP17
98978996	99052413	10	ARHGAP19
86396267	86923823	4	ARHGAP24
43471275	43511787	17	ARHGAP27
119013220	119139561	3	ARHGAP31
128834955	129149219	11	ARHGAP32
36265434	36279724	19	ARHGAP33
145754563	145911194	8	ARHGAP39
100558384	100862668	11	ARHGAP42
32545320	32628934	14	ARHGAP5
45098355	45258665	22	ARHGAP8
79825597	79829282	17	ARHGDIA
15094951	15114662	12	ARHGDIB
42387228	42434302	19	ARHGEF1
1772142	1906807	8	ARHGEF10
5001	139659	LRG_234	LRG_234
120207787	120360645	11	ARHGEF12
8213559	8225829	17	ARHGEF15
3370990	3397677	1	ARHGEF16
73019334	73080136	11	ARHGEF17
72921983	73237818	5	ARHGEF28
143883176	143991230	7	ARHGEF35
106473777	106629250	4	ARHGEF38
35658872	35675863	9	ARHGEF39
21538429	21558399	14	ARHGEF40
144052381	144077725	7	ARHGEF5
135747706	135864247	X	ARHGEF6
111766906	111958084	13	ARHGEF7
157099063	157531913	6	ARID1B
46123448	46301823	12	ARID2
235294949	235491534	1	ARID4B
97202480	97218375	2	ARID5A
63661059	63856703	10	ARID5B
72766667	72879692	15	ARIH1
48956254	49023815	3	ARIH2
101786898	101801598	12	ARL1
30344598	30359774	11	ARL14EP
53179775	53606412	5	ARL15
79648204	79650954	17	ARL16
44594068	44657088	17	ARL17A
64781585	64789656	11	ARL2
57279010	57287516	16	ARL2BP
104433488	104474164	10	ARL3
152645498	152685006	2	ARL5A
18948334	18970568	10	ARL5B
18802991	18813000	16	ARL6IP1
123464607	123467456	12	ARL6IP4
69134095	69155217	3	ARL6IP5
153574407	153617767	2	ARL6IP6
5163905	5222596	3	ARL8B
66514694	66546442	8	ARMC1
102715328	102740205	7	ARMC10
109169619	109295186	6	ARMC2
31469401	31478487	16	ARMC5
19144384	19170563	19	ARMC6
73106047	73126360	17	ARMC7
137906109	138017231	3	ARMC8
100877787	100882833	X	ARMCX3
100877784	100882830	HG1439_PATCH	ARMCX3
100870110	100872991	X	ARMCX6
100870107	100872988	HG1439_PATCH	ARMCX6
150782181	150849244	1	ARNT
13298199	13408813	11	ARNTL
27485787	27576241	12	ARNTL2
98923521	98985787	7	ARPC1A
219081817	219119079	2	ARPC2
110872630	110888227	12	ARPC3
9834179	9849410	3	ARPC4
52839242	52862080	15	ARPP19
74975226	75062873	11	ARRB1
4613784	4624794	17	ARRB2
140500106	140509812	9	ARRDC1
18111941	18124911	19	ARRDC2
51061182	51066607	22	ARSA
14978503	14996429	12	ART4
17913934	17942494	8	ASAH1
51942538	52008370	10	ASAH2
52499078	52576255	10	ASAH2B
23755056	23811061	1	ASAP3
239335383	239360891	2	ASB1
5680830	5708558	10	ASB13
132399171	132404444	9	ASB6
101142739	101191910	15	ASB7
48541571	48574996	12	ASB8
73856278	73976892	10	ASCC1
30184597	30234271	22	ASCC2
100956070	101329248	6	ASCC3
14230321	14247768	19	ASF1B
155305059	155532598	1	ASH1L
37962760	38001594	8	ASH2L
50451331	50477394	12	ASIC1
12847953	12859137	19	ASNA1
190526111	190535557	2	ASNSD1
62413116	62627155	8	ASPH
29911696	29931185	16	ASPHD1
79934683	79975282	17	ASPSCR1
130732719	130746493	3	ASTE1
27058114	27091259	12	ASUN
30946155	31027122	20	ASXL1
31158579	31331156	18	ASXL3
89511269	89601100	10	ATAD1
23971534	24149984	2	ATAD2B
1447531	1470067	1	ATAD3A
1407143	1433228	1	ATAD3B
29158988	29222887	17	ATAD5
123499939	123688316	10	ATE1
51157493	51214905	12	ATF1
212738676	212794119	1	ATF3
161736084	161933860	1	ATF6
32014365	32044486	HSCHR6_MHC_COX	ATF6B
32065953	32096030	6	ATF6B
32041705	32071805	HSCHR6_MHC_DBB	ATF6B
32142344	32172461	HSCHR6_MHC_MCF	ATF6B
53901640	54020199	12	ATF7
14518610	14651697	12	ATF7IP
115163893	115177555	5	ATG12
46638826	46696368	11	ATG13
55833110	55878576	14	ATG14
234118697	234204320	2	ATG16L1
72525353	72554719	11	ATG16L2
64662007	64684722	11	ATG2A
112251356	112280893	3	ATG3
242576628	242613272	2	ATG4B
10654571	10664094	19	ATG4D
106632351	106773666	6	ATG5
11313995	11599139	3	ATG7
289135	296107	11	ATHL1
216176540	216214487	2	ATIC
63391559	63439393	11	ATL3
108093211	108239829	11	ATM
5001	151268	LRG_135	LRG_135
7033626	7051484	12	ATN1
7033626	7051484	HG344_PATCH	ATN1
85978467	86015189	2	ATOH8
47487305	47595503	4	ATP10D
17312453	17338423	1	ATP13A2
169074935	169101960	1	ATP1B1
89981828	90103077	12	ATP2B1
84402133	84497793	16	ATP2C2
43664110	43684300	18	ATP5A1
57031959	57039798	12	ATP5B
7830092	7849778	10	ATP5C1
1241749	1244824	19	ATP5D
57600522	57607437	20	ATP5E
111991486	112005395	1	ATP5F1
46970127	46973233	17	ATP5G1
54026510	54071192	12	ATP5G2
176040986	176049335	2	ATP5G3
73034958	73043080	17	ATP5H
666225	668127	4	ATP5I
27088815	27107984	21	ATP5J
99046098	99063954	7	ATP5J2
118271869	118302211	11	ATP5L
118271869	118302211	HG122_PATCH	ATP5L
35275757	35288284	21	ATP5O
41937223	41946622	19	ATP5SL
41937223	41946622	HG1350_HG959_PATCH	ATP5SL
153656978	153664862	X	ATP6AP1
153597100	153604984	HG1497_PATCH	ATP6AP1
40440146	40465889	X	ATP6AP2
44440159	44443967	1	ATP6V0B
2563871	2570219	16	ATP6V0C
149570057	149577784	7	ATP6V0E2
149564786	149577699	7	ATP6V0E2-AS1
113465866	113530903	3	ATP6V1A
20054878	20084330	8	ATP6V1B2
10861775	10925236	2	ATP6V1C2
67761088	67826982	14	ATP6V1D
18074902	18111584	22	ATP6V1E1
31499694	31502076	HSCHR6_MHC_COX	ATP6V1G2
31494420	31496802	HSCHR6_MHC_DBB	ATP6V1G2
31502517	31504899	HSCHR6_MHC_QBL	ATP6V1G2
31551738	31554120	HSCHR6_MHC_MANN	ATP6V1G2
31502186	31504572	HSCHR6_MHC_SSTO	ATP6V1G2
31588589	31602936	HSCHR6_MHC_MCF	ATP6V1G2
31512239	31516204	6	ATP6V1G2
54628117	54756118	8	ATP6V1H
77166194	77305892	X	ATP7A
77171651	77311349	HG1426_PATCH	ATP7A
55313658	55470333	18	ATP8B1
154298029	154323783	1	ATP8B2
35406752	35483026	9	ATP8B5P
76829285	77138283	18	ATP9B
76834837	77142822	HSCHR18_2_CTG2_1	ATP9B
47098409	47139539	1	ATPAF1
17880723	17942523	17	ATPAF2
28562620	28573417	1	ATPIF1
27434895	27440046	2	ATRAID
3451687	3631769	20	ATRN
76760356	77041702	X	ATRX
76765832	77047170	HG1426_PATCH	ATRX
46067678	46241187	22	ATXN10
71879894	71919171	16	ATXN1L
111890018	112037480	12	ATXN2
28834356	28848558	16	ATXN2L
92524896	92572965	14	ATXN3
63850233	63989138	3	ATXN7
110026101	110035426	1	ATXN7L2
42269173	42277481	17	ATXN7L3
74931551	74935223	12	ATXN7L3B
93976097	94124195	9	AUH
5001	153110	LRG_449	LRG_449
54944445	54967393	20	AURKA
1309110	1310875	1	AURKAIP1
8108056	8113918	17	AURKB
32535038	33078516	7	AVL9
153167985	153172620	X	AVPR2
153071002	153075637	HG1497_PATCH	AVPR2
337440	402673	16	AXIN1
99564343	99573780	7	AZGP1
28356494	28390618	3	AZI2
103838585	103906092	8	AZIN1
71566382	71666741	6	B3GAT2
62382768	62389647	11	B3GAT3
62423248	62451866	2	B3GNT2
182971032	183016292	3	B3GNT5
58017193	58027138	12	B4GALNT1
369796	382116	11	B4GALNT4
33104080	33167354	9	B4GALT1
44444615	44456840	1	B4GALT2
161141100	161147287	1	B4GALT3
19240867	19281495	17	B9D1
41860326	41870078	19	B9D2
104152938	104242533	8	BAALC
17378159	17392058	19	BABAM1
117156402	117186975	11	BACE1
42539728	42654445	21	BACE2
64037302	64052176	11	BAD
57037124	57054631	6	BAG2
38034051	38070819	8	BAG4
104022881	104029168	14	BAG5
31596744	31610423	HSCHR6_MHC_SSTO	BAG6
31594212	31607897	HSCHR6_MHC_COX	BAG6
31597040	31610723	HSCHR6_MHC_QBL	BAG6
31588979	31602664	HSCHR6_MHC_DBB	BAG6
31646291	31659974	HSCHR6_MHC_MANN	BAG6
31683095	31696765	HSCHR6_MHC_MCF	BAG6
31606805	31620482	6	BAG6
40731920	40760441	15	BAHD1
79002933	79008501	17	BAIAP2-AS1
65769550	65771620	11	BANF1
52435029	52444366	3	BAP1
129245835	129322171	11	BARX2
35221937	35344853	14	BAZ1A
72854728	72936608	7	BAZ1B
72905355	72987235	HG1257_PATCH	BAZ1B
112658488	112679032	10	BBIP1
66278077	66301098	11	BBS1
76738254	76742222	12	BBS10
123653857	123666098	4	BBS12
72978527	73030817	15	BBS4
170335688	170382432	2	BBS5
45312328	45324673	19	BCAM
107220422	107269615	7	BCAP29
152965947	152990152	X	BCAP31
152868964	152893169	HG1497_PATCH	BCAP31
52553316	52687304	20	BCAS1
115110178	115124260	1	BCAS2
49411431	49493714	20	BCAS4
49298319	49314286	19	BCAT2
127512115	127542264	10	BCCIP
50231573	50236912	12	BCDIN3D
50222325	50234926	12	BCDIN3D-AS1
165490692	165555260	3	BCHE
41884215	41930910	19	BCKDHA
80816364	81055987	6	BCKDHB
31117428	31124110	16	BCKDK
85731931	85742773	1	BCL10
30252255	30311792	20	BCL2L1
18111621	18213388	22	BCL2L13
45250962	45263301	19	BCL3
6926339	6933609	17	BCL6B
122457328	122499948	12	BCL7A
72950686	72972332	7	BCL7B
73001313	73022959	HG1257_PATCH	BCL7B
118764584	118796317	11	BCL9L
129115083	129192058	X	BCORL1
23521891	23660224	22	BCR
197236654	197300194	3	BDH1
96722161	96735304	14	BDKRB1
96671016	96710666	14	BDKRB2
70751442	70863649	5	BDP1
69966745	70078950	HSCHR5_1_CTG1	BDP1
40962152	40985367	17	BECN1
13480484	13570974	10	BEND7
93592074	93633694	7	BET1
167784	207428	11	BET1L
102470020	102472174	X	BEX4
156211753	156213112	1	BGLAP
152760397	152775012	X	BGN
152663411	152678026	HG1497_PATCH	BGN
101975616	102008468	X	BHLHB9
5020801	5027008	3	BHLHE40
26272959	26278060	12	BHLHE41
43506754	43525718	22	BIK
22477931	22526661	8	BIN3
102217942	102249401	11	BIRC2
76210267	76221717	17	BIRC5
103451399	103493885	13	BIVM
36120874	36156333	20	BLCAP
91260558	91358859	15	BLM
4978	103085	LRG_20	LRG_20
28575218	28619074	17	BLMH
97951459	98031303	HG339_PATCH	BLNK
97951458	98031344	10	BLNK
9994	89872	LRG_21	LRG_21
56109820	56113871	12	BLOC1S1
45682003	45685059	19	BLOC1S3
6717842	6719387	4	BLOC1S4
8013800	8064647	6	BLOC1S5
45879321	45908197	15	BLOC1S6
43798279	43846939	7	BLVRA
22610140	22620413	10	BMI1
54416454	54425479	14	BMP4
55618443	55740362	6	BMP5
55743804	55841685	20	BMP7
33944523	34195484	7	BMPER
88516407	88692595	10	BMPR1A
5001	173550	LRG_298	LRG_298
203241659	203432474	2	BMPR2
43278249	43330385	10	BMS1
46737612	46761205	10	BMS1P1
172571445	172591390	5	BNIP1
59951345	59981733	15	BNIP2
26240414	26363152	8	BNIP3L
173034517	173043663	5	BOD1
13570362	13629347	4	BOD1L1
242498136	242513546	2	BOK
29464914	29466285	16	BOLA2
145317005	145346273	HG243_PATCH	BOP1
145486055	145515082	8	BOP1
73302061	73330336	13	BORA
220230824	220263804	1	BPNT1
65821640	65980494	HG747_PATCH	BPTF
65821640	65980494	17	BPTF
140419127	140624564	7	BRAF
112079950	112123790	12	BRAP
2577511	2595361	7	BRAT1
154299695	154351349	X	BRCC3
154239888	154291542	HG1497_PATCH	BRCC3
50166931	50221160	22	BRD1
136895427	136933657	9	BRD3
15347647	15443356	19	BRD4
50347398	50402845	16	BRD7
137475455	137514675	5	BRD8
850406	892939	5	BRD9
92414928	92479983	1	BRDT
105675623	105781926	14	BRF1
37700786	37707422	8	BRF2
59758627	59940882	17	BRIP1
5001	189374	LRG_300	LRG_300
34915481	34926101	5	BRIX1
10157276	10168874	3	BRK1
66104804	66112596	11	BRMS1
222885895	222908538	1	BROX
9773413	9789702	3	BRPF1
40556102	40693485	21	BRWD1
62457747	62477317	11	BSCL2
32830704	32860332	1	BSDC1
571297	583493	19	BSG
116111821	116133513	9	BSPRY
93683526	93790082	10	BTAF1
83685174	83736106	15	BTBD1
13409548	13484844	11	BTBD10
45274154	45281257	1	BTBD19
1985447	2034880	19	BTBD2
11871371	11907257	20	BTBD3
105714827	105717430	14	BTBD6
93703896	93799438	14	BTBD7
92545862	92613393	1	BTBD8
38136227	38607924	6	BTBD9
15642848	15687329	3	BTD
52521797	52556388	1	BTF3L4
92536286	92539673	12	BTG1
203274619	203278730	1	BTG2
26402465	26415444	6	BTN3A1
26365387	26378546	6	BTN3A2
26440700	26453643	6	BTN3A3
180467225	180488523	5	BTNL9
40453224	40513337	15	BUB1B
124913793	124924886	10	BUB3
116618886	116643704	11	BUD13
99006264	99017239	7	BUD31
41888926	41900784	6	BYSL
56378592	56406152	17	BZRAP1
16685756	16746148	7	BZW2
45466429	45474258	10	C10orf10
63422719	63526524	10	C10orf107
102747124	102754158	10	C10orf2
73507316	73533255	10	C10orf54
103605356	103815950	10	C10orf76
124690419	124713919	10	C10orf88
128113566	128359079	10	C10orf90
68028803	68039469	11	C11orf24
76155967	76264069	11	C11orf30
57508825	57510986	11	C11orf31
46958240	47185936	11	C11orf49
111788756	111797596	11	C11orf52
