Gene Start (bp)	Gene End (bp)	Chromosome Name	HGNC symbol
73591706	73596496	14	ACOT4
45841721	45857406	20	ACOT8
75941507	75979363	17	ACOX1
58505136	58537319	3	ACOX2
11574660	11579008	19	ACP5
71578411	71613583	X	ACRC
89088375	89155846	16	ACSF3
34872146	34927962	20	ACSS2
88935074	88991390	10	ACTA2
73892314	73919865	2	ACTG2
179562880	179588408	3	ACTL6A
38647649	38731583	19	ACTN4
58200080	58235636	14	ACTR10
102479229	102502711	10	ACTR1A
113889960	113962596	2	ACTR3
38748442	38772520	20	ACTR5
100199122	100241865	12	ACTR6
147844517	147930826	2	ACVR2A
38453851	38493142	3	ACVR2B
51983340	51989197	3	ACY1
126012381	126388455	10	ADAM12
9488486	9555792	2	ADAM17
157395534	157575775	5	ADAM19
87934143	88202889	7	ADAM22
3667965	3682246	20	ADAM33
105969729	105972269	14	ADAM6
133262403	133276868	10	ADAM8
38996869	39105144	8	ADAM9
26835747	26845409	21	ADAMTS1
33523535	33892192	5	ADAMTS12
130448974	130476641	11	ADAMTS15
5140330	5320304	5	ADAMTS16
77247813	77435114	16	ADAMTS18
161184308	161199056	1	ADAMTS4
65148736	65481920	5	ADAMTS6
18473894	18910950	9	ADAMTSL1
150549369	150560937	1	ADAMTSL4
30906344	30959322	17	ADAP2
143422832	143450673	6	ADAT2
1905378	1913447	19	ADAT3
140673153	140696261	7	ADCK2
226897536	226987545	1	ADCK3
144373101	144393242	8	ADCK5
24819169	24919839	2	ADCY3
24318349	24335093	14	ADCY4
123282296	123449758	3	ADCY5
50246137	50318135	16	ADCY7
3953387	4116185	16	ADCY9
2843857	2930076	4	ADD1
37784191	37844896	8	ADGRA2
142449430	142545009	8	ADGRB1
31727117	31764893	1	ADGRB2
130953907	131141469	12	ADGRD1
46852512	46954943	6	ADGRF5
57610652	57665580	16	ADGRG1
57668187	57689378	16	ADGRG3
14147743	14206187	19	ADGRL1
81306160	81992436	1	ADGRL2
78889764	79006718	1	ADGRL4
90529344	91164221	5	ADGRV1
99304964	99321401	4	ADH1B
99336492	99353027	4	ADH1C
99070978	99088801	4	ADH5
66430185	66471601	8	ADHFE1
202940823	202958572	1	ADIPOR1
1688574	1788678	12	ADIPOR2
74151185	74709303	10	ADK
10304680	10307397	11	ADM
49688664	49690575	19	ADM5
50888919	50931240	20	ADNP
80109031	80147523	18	ADNP2
62804857	62808483	10	ADO
203090654	203167405	1	ADORA1
24417879	24442360	22	ADORA2A
24429206	24495074	22	ADORA2A-AS1
111499429	111503760	1	ADORA3
72751369	72785846	15	ADPGK
10697594	10711233	17	ADPRM
111077163	111080907	10	ADRA2A
3766348	3768526	4	ADRA2C
67266410	67286556	11	ADRBK1
62302093	62308862	20	ADRM1
40346500	40369367	22	ADSL
244408494	244452134	1	ADSS
104724186	104747325	14	ADSSL1
44104361	44114562	7	AEBP1
19404045	19720801	12	AEBP2
88621296	88632282	15	AEN
3052910	3063107	19	AES
7758714	7939926	4	AFAP1
149271871	149341802	5	AFAP1L1
114294824	114404756	10	AFAP1L2
89972586	90002161	16	AFG3L1P
12328944	12377314	18	AFG3L2
78187317	78207701	17	AFMID
151085831	151144436	7	AGAP3
45825594	45853875	10	AGAP4
73674285	73698159	10	AGAP5
49982190	50010499	10	AGAP6
227472152	227561214	2	AGFG1
77029251	77065234	5	AGGF1
141551189	141655244	7	AGK
140520156	140635619	8	AGO2
35930718	36072500	1	AGO3
32168212	32178096	6	AGPAT1
136673143	136687423	9	AGPAT2
43865186	43986536	21	AGPAT3
161129979	161274061	6	AGPAT4
6708357	6759666	8	AGPAT5
1020123	1056118	1	AGRN
148697784	148743008	3	AGTR1
11736084	11754802	1	AGTRAP
246839098	246931978	1	AHCTF1
34280268	34311802	20	AHCY
109984686	110023741	1	AHCYL1
27534035	27604431	1	AHDC1
135283532	135497776	6	AHI1
62433542	62556235	11	AHNAK
77457870	77469474	14	AHSA1
61177418	61191203	2	AHSA2
222668013	222713210	1	AIDA
31615184	31617021	6	AIF1
130129362	130165887	X	AIFM1
70098223	70132934	10	AIFM2
143060496	143340304	6	AIG1
106315544	106349226	4	AIMP1
6009245	6023834	7	AIMP2
67483041	67491103	11	AIP
127866480	127877743	9	AK1
33007940	33080996	1	AK2
65147549	65232145	1	AK4
19904302	19978343	17	AKAP10
42272153	42323267	13	AKAP11
1591593	1602514	X	AKAP17A
110048598	110172512	9	AKAP2
15353385	15379798	19	AKAP8
8911139	8920084	11	AKIP1
38991223	39006059	1	AKIRIN1
19303965	19312146	1	AKR7A2
19282558	19289250	1	AKR7A3
104769349	104795751	14	AKT1
49869033	49878459	19	AKT1S1
40230317	40285536	19	AKT2
53491040	53504411	16	AKTIP
113386317	113401333	9	ALAD
95605929	95656706	10	ALDH18A1
72900662	73080442	9	ALDH1A1
100877714	100916626	15	ALDH1A3
111766887	111817529	12	ALDH2
18871430	18902781	1	ALDH4A1
24494852	24537207	6	ALDH5A1
74056850	74084493	14	ALDH6A1
30053090	30070457	16	ALDOA
5033960	5087379	16	ALG1
38316578	38329728	12	ALG10B
49900229	49918458	22	ALG12
99216426	99221956	9	ALG2
184242301	184249548	3	ALG3
36949775	37000261	13	ALG5
78100936	78139660	11	ALG8
111782195	111871581	11	ALG9
77672404	77708020	14	ALKBH1
102456238	102464876	7	ALKBH4
18183078	18209954	17	ALKBH5
6372433	6375251	19	ALKBH7
107502726	107565746	11	ALKBH8
84816680	84873482	15	ALPK3
81887844	81891586	17	ALYREF
46396414	46594125	11	AMBRA1
110814621	110895713	6	AMD1
2520357	2531422	16	AMDHD2
56361452	56425538	16	AMFR
47075707	47079951	12	AMIGO2
127861630	127885922	2	AMMECR1L
94706431	94876753	11	AMOTL1
10308313	10507579	11	AMPD3
103655290	103664554	1	AMY1A
103616811	103625780	1	AMY2A
103553815	103579534	1	AMY2B
68247574	68257164	17	AMZ2
144967112	145098541	4	ANAPC10
81890790	81900991	17	ANAPC11
72106378	72112780	11	ANAPC15
72216000	72235860	10	ANAPC16
137174784	137188549	9	ANAPC2
25377213	25418498	4	ANAPC4
121308245	121399896	12	ANAPC5
110372900	110403730	12	ANAPC7
20684177	20698971	14	ANG
76786178	76826246	14	ANGEL1
212992182	213015826	1	ANGEL2
10092338	10102796	19	ANGPTL6
112818109	113383740	4	ANK2
64911902	64958700	15	ANKDD1A
9986126	10058303	20	ANKEF1
4163907	4263977	17	ANKFY1
14704804	14871778	5	ANKH
140401814	140539856	5	ANKHD1
140401908	140549569	5	ANKHD1-EIF4EBP3
92246234	92401384	7	ANKIB1
16599776	16645817	7	ANKMY2
110878540	110915069	13	ANKRD10
89267627	89490561	16	ANKRD11
9136228	9285985	18	ANKRD12
109999186	110039763	12	ANKRD13A
29589769	29614761	17	ANKRD13B
70260588	70354734	1	ANKRD13C
67288547	67302485	11	ANKRD13D
73073376	73258798	4	ANKRD17
66106815	66153135	9	ANKRD20A3
64369394	64413142	9	ANKRD20A4
32597007	32676597	19	ANKRD27
15667236	15859771	3	ANKRD28
97113496	97264521	2	ANKRD36
97492663	97589965	2	ANKRD36B
50693190	50707924	17	ANKRD40
83193739	83260694	11	ANKRD42
94493629	94499583	11	ANKRD49
37830855	37849327	22	ANKRD54
34889265	35091413	6	ANKS1A
98731329	98796965	9	ANKS6
70078302	70189528	11	ANO1
43354859	43691594	3	ANO10
45215987	45440404	12	ANO6
68778535	68820897	15	ANP32A
97983361	98015943	9	ANP32B
69013178	69249327	2	ANTXR1
79901149	80125454	4	ANTXR2
73151757	73170393	9	ANXA1
80150889	80205572	10	ANXA11
43039081	43043170	5	ANXA2R
69644425	69827100	2	ANXA4
151100712	151157882	5	ANXA6
73375101	73414076	10	ANXA7
47460162	47484158	10	ANXA8
46375627	46537864	10	ANXA8L1
42851184	42858130	17	AOC3
42865922	42874369	17	AOC4P
112231737	112270047	4	AP1AR
29327680	29423179	22	AP1B1
71729000	71809201	16	AP1G1
23559565	23568070	14	AP1G2
16197578	16245907	19	AP1M1
10572671	10587315	19	AP1M2
101154397	101161596	7	AP1S1
15825806	15855014	X	AP1S2
49766968	49807113	19	AP2A1
924894	1012245	11	AP2A2
184174689	184184091	3	AP2M1
78000525	78294755	5	AP3B1
2100988	2164465	19	AP3D1
74120255	74151063	10	AP3M1
42152946	42171673	8	AP3M2
115841481	115914081	5	AP3S1
113894748	113905201	1	AP4B1
50908672	51005900	15	AP4E1
65775893	65780802	11	AP5B1
57268909	57298742	14	AP5M1
3820524	3828837	20	AP5S1
4775622	4794312	7	AP5Z1
49674002	49683963	3	APEH
20455191	20457772	14	APEX1
55000357	55009057	X	APEX2
150265399	150269580	1	APH1A
43311963	43344529	11	API5
34853094	34916499	11	APIP
57233577	57237314	11	APLNR
35867899	35879791	19	APLP1
24962925	24992979	20	APMAP
39014363	39033276	22	APOBEC3D
39040604	39053910	22	APOBEC3F
28494649	28498970	16	APOBR
44914247	44919349	19	APOC1
195568702	195584205	3	APOD
44905754	44909393	19	APOE
36253010	36267530	22	APOL1
36226203	36239954	22	APOL2
36140330	36166177	22	APOL3
23833353	23907934	X	APOO
85003826	85093316	X	APOOL
103562962	103607523	14	APOPT1
60443149	60526219	17	APPBP2
57227737	57273468	3	APPL1
88809339	88811944	16	APRT
32972606	33025168	9	APTX
77589391	77610355	11	AQP11
34851782	34969839	15	AQR
47561100	47571920	X	ARAF
72685069	72793599	11	ARAP1
118572390	118603033	11	ARCN1
74653437	74713115	14	AREL1
57571363	57598220	3	ARF4
127588345	127591705	7	ARF5
49893092	49897054	14	ARF6
63272785	63289793	20	ARFGAP1
47164299	47177125	11	ARFGAP2
67173511	67343677	8	ARFGEF1
48921890	49036693	20	ARFGEF2
138161921	138344663	6	ARFGEF3
152687727	152918463	4	ARFIP1
6474683	6481479	11	ARFIP2
63698642	63708025	20	ARFRP1
67619798	67651720	14	ARG2
106541673	106568164	13	ARGLU1
46677080	46700615	11	ARHGAP1
32615144	32639949	15	ARHGAP11A
30624494	30772993	15	ARHGAP11B
31805404	31928876	10	ARHGAP12
24919385	25015666	16	ARHGAP17
97222173	97292673	10	ARHGAP19
85475114	86002670	4	ARHGAP24
45393902	45434421	17	ARHGAP27
119294373	119420714	3	ARHGAP31
128965060	129279324	11	ARHGAP32
35774532	35788822	19	ARHGAP33
144529179	144605816	8	ARHGAP39
100687653	100991937	11	ARHGAP42
32076114	32159728	14	ARHGAP5
44752558	44862788	22	ARHGAP8
81867721	81871406	17	ARHGDIA
14942017	14961728	12	ARHGDIB
41883161	41930150	19	ARHGEF1
1823976	1958641	8	ARHGEF10
120336914	120489936	11	ARHGEF12
8310241	8322516	17	ARHGEF15
3454426	3481113	1	ARHGEF16
73308289	73369091	11	ARHGEF17
73626158	73941993	5	ARHGEF28
144186083	144195655	7	ARHGEF35
105552620	105708093	4	ARHGEF38
35658875	35675866	9	ARHGEF39
21070270	21090240	14	ARHGEF40
144355288	144380632	7	ARHGEF5
136665547	136782088	X	ARHGEF6
111114559	111305737	13	ARHGEF7
156777374	157210779	6	ARID1B
45729665	45908040	12	ARID2
235131634	235328219	1	ARID4B
96536743	96552638	2	ARID5A
61901300	62096944	10	ARID5B
72474326	72602985	15	ARIH1
48918821	48986382	3	ARIH2
101393120	101407820	12	ARL1
30323051	30338227	11	ARL14EP
53883945	54310582	5	ARL15
81681174	81683924	17	ARL16
46516702	46579722	17	ARL17A
65014113	65022184	11	ARL2
57245098	57253635	16	ARL2BP
102673731	102714407	10	ARL3
151788984	151828492	2	ARL5A
18659405	18681639	10	ARL5B
18791667	18801678	16	ARL6IP1
122980060	122982913	12	ARL6IP4
69084944	69106066	3	ARL6IP5
152717893	152761253	2	ARL6IP6
5122220	5180912	3	ARL8B
65602456	65634217	8	ARMC1
103074881	103099764	7	ARMC10
108848416	108974472	6	ARMC2
31458080	31467166	16	ARMC5
19033575	19060311	19	ARMC6
75109952	75130265	17	ARMC7
138187248	138298389	3	ARMC8
101622797	101627843	X	ARMCX3
101615118	101618001	X	ARMCX6
151452258	151470101	6	ARMT1
150809705	150876768	1	ARNT
13276652	13387266	11	ARNTL
27332854	27425289	12	ARNTL2
99325898	99388164	7	ARPC1A
218217094	218254356	2	ARPC2
110434825	110450422	12	ARPC3
9792495	9807726	3	ARPC4
52547045	52569883	15	ARPP19
75264182	75351705	11	ARRB1
4710489	4721499	17	ARRB2
137605654	137615360	9	ARRDC1
18001132	18014102	19	ARRDC2
50622754	50628173	22	ARSA
14825569	14843495	12	ART4
18056425	18084985	8	ASAH1
50182778	50248610	10	ASAH2
50739318	50816495	10	ASAH2B
23428563	23484568	1	ASAP3
238426742	238452250	2	ASB1
5638867	5666595	10	ASB13
129634604	129642169	9	ASB6
100602534	100651705	15	ASB7
48147788	48181213	12	ASB8
72096032	72217134	10	ASCC1
29788608	29838304	22	ASCC2
100508194	100881372	6	ASCC3
14119509	14136956	19	ASF1B
155335268	155562807	1	ASH1L
38105242	38144076	8	ASH2L
50057548	50083611	12	ASIC1
12737139	12748323	19	ASNA1
189661385	189670831	2	ASNSD1
61500556	61714640	8	ASPH
29900375	29919864	16	ASPHD1
81976807	82017406	17	ASPSCR1
131013875	131027649	3	ASTE1
26905181	26938326	12	ASUN
32358344	32439319	20	ASXL1
33578615	33751192	18	ASXL3
87751512	87841343	10	ATAD1
23748664	23927114	2	ATAD2B
1512151	1534687	1	ATAD3A
1471769	1497848	1	ATAD3B
30831970	30895869	17	ATAD5
121740421	121928801	10	ATE1
50763710	50821122	12	ATF1
212565334	212620777	1	ATF3
161766294	161964070	1	ATF6
32098176	32128253	6	ATF6B
53507856	53626410	12	ATF7
14365632	14502935	12	ATF7IP
52069246	52077494	12	ATG101
115828200	115841858	5	ATG12
46617527	46674818	11	ATG13
55366392	55411858	14	ATG14
233210051	233295674	2	ATG16L1
72814308	72843674	11	ATG16L2
64894546	64917248	11	ATG2A
112532509	112562046	3	ATG3
241637213	241673857	2	ATG4B
10543895	10553418	19	ATG4D
106184476	106325820	6	ATG5
11272309	11557665	3	ATG7
289135	296107	11	ATHL1
215311817	215349773	2	ATIC
63624087	63671921	11	ATL3
108222484	108369102	11	ATM
6924463	6942321	12	ATN1
85751344	85788066	2	ATOH8
47485288	47593486	4	ATP10D
16985958	17011928	1	ATP13A2
169105697	169132722	1	ATP1B1
89588049	89709300	12	ATP2B1
84368527	84464187	16	ATP2C2
46080248	46104334	18	ATP5A1
56638175	56646068	12	ATP5B
7788129	7807815	10	ATP5C1
1241746	1244826	19	ATP5D
59025467	59032382	20	ATP5E
111448864	111462773	1	ATP5F1
48892765	48895871	17	ATP5G1
53632726	53677408	12	ATP5G2
175176258	175184607	2	ATP5G3
75038863	75046985	17	ATP5H
672436	674338	4	ATP5I
25716503	25735673	21	ATP5J
99448475	99466331	7	ATP5J2
118401154	118431496	11	ATP5L
33903453	33915980	21	ATP5O
41431318	41440717	19	ATP5SL
154428632	154436516	X	ATP6AP1
40580908	40606637	X	ATP6AP2
43974487	43978295	1	ATP6V0B
2513870	2520218	16	ATP6V0C
149872968	149880698	7	ATP6V0E2
149867697	149880610	7	ATP6V0E2-AS1
113747019	113812056	3	ATP6V1A
20197367	20226819	8	ATP6V1B2
10721649	10785110	2	ATP6V1C2
67294371	67360265	14	ATP6V1D
17592136	17628818	22	ATP6V1E1
31544462	31548427	6	ATP6V1G2
53715557	53843558	8	ATP6V1H
77910656	78050395	X	ATP7A
57646426	57803101	18	ATP8B1
154325553	154351307	1	ATP8B2
35406755	35483035	9	ATP8B5P
79069285	79378283	18	ATP9B
46632737	46673867	1	ATPAF1
17977409	18039209	17	ATPAF2
28236109	28246906	1	ATPIF1
27212027	27217178	2	ATRAID
3471040	3651122	20	ATRN
77504878	77786269	X	ATRX
45671798	45845307	22	ATXN10
71845991	71885268	16	ATXN1L
111452214	111599676	12	ATXN2
28823035	28837237	16	ATXN2L
92038652	92106621	14	ATXN3
63864557	64003462	3	ATXN7
109483479	109492804	1	ATXN7L2
44191805	44200113	17	ATXN7L3
74537827	74545430	12	ATXN7L3B
91213815	91361913	9	AUH
56369389	56392337	20	AURKA
1373730	1375495	1	AURKAIP1
8204733	8210600	17	AURKB
32495426	32588721	7	AVL9
153902531	153907166	X	AVPR2
287440	352673	16	AXIN1
99966720	99976157	7	AZGP1
28315003	28349127	3	AZI2
102826357	102893864	8	AZIN1
70856679	70957038	6	B3GAT2
62615296	62622175	11	B3GAT3
62196113	62224731	2	B3GNT2
183253244	183298504	3	B3GNT5
57623410	57633355	12	B4GALNT1
369796	382116	11	B4GALNT4
33104082	33167356	9	B4GALT1
43978943	43991170	1	B4GALT2
161171310	161177968	1	B4GALT3
66345372	66347692	11	B4GAT1
19337554	19378182	17	B9D1
41354421	41364173	19	B9D2
103140710	103230305	8	BAALC
17267350	17281249	19	BABAM1
117285207	117316259	11	BACE1
41167801	41282518	21	BACE2
64269830	64284704	11	BAD
57172326	57189833	6	BAG2
38176533	38213301	8	BAG4
103556544	103562831	14	BAG5
31639028	31652705	6	BAG6
40439721	40468242	15	BAHD1
81029130	81034881	17	BAIAP2-AS1
66002079	66004149	11	BANF1
52401013	52410350	3	BAP1
129375940	129452279	11	BARX2
34752731	34875647	14	BAZ1A
73440398	73522278	7	BAZ1B
110898730	110919274	10	BBIP1
66510606	66533627	11	BBS1
76344474	76348442	12	BBS10
122732702	122744943	4	BBS12
72686179	72738476	15	BBS4
169479178	169506655	2	BBS5
44809059	44821420	19	BCAM
107579977	107629170	7	BCAP29
153700497	153724697	X	BCAP31
53936777	54070594	20	BCAS1
114567557	114581639	1	BCAS2
50794894	50882676	20	BCAS4
48795062	48811029	19	BCAT2
125823546	125853695	10	BCCIP
49836039	49843129	12	BCDIN3D
49828542	49841143	12	BCDIN3D-AS1
165772904	165837472	3	BCHE
41397460	41431345	19	BCKDHA
80106647	80346270	6	BCKDHB
31106107	31112791	16	BCKDK
85266248	85277090	1	BCL10
31664452	31723989	20	BCL2L1
17628855	17730855	22	BCL2L13
44747705	44760044	19	BCL3
7023020	7030290	17	BCL6B
122019422	122062044	12	BCL7A
73536356	73558002	7	BCL7B
118893875	118925608	11	BCL9L
129981107	130058083	X	BCORL1
23179704	23318037	22	BCR
197509783	197573323	3	BDH1
96255824	96268967	14	BDKRB1
96204679	96244166	14	BDKRB2
71455615	71567820	5	BDP1
42810134	42833350	17	BECN1
13438484	13528974	10	BEND7
93962762	94004382	7	BET1
167784	207428	11	BET1L
103215092	103217246	X	BEX4
156241962	156243321	1	BGLAP
153494939	153509554	X	BGN
102720688	102753540	X	BHLHB9
4979116	4985323	3	BHLHE40
26120026	26125127	12	BHLHE41
43110748	43129712	22	BIK
22620418	22669148	8	BIN3
102347211	102378670	11	BIRC2
78214186	78225636	17	BIRC5
102799049	102841535	13	BIVM
37492472	37527931	20	BLCAP
90717327	90816165	15	BLM
30248195	30292056	17	BLMH
96191702	96271587	10	BLNK
55716037	55720087	12	BLOC1S1
45178745	45181801	19	BLOC1S3
6716055	6717671	4	BLOC1S4
8015810	8064376	6	BLOC1S5
8013567	8064414	6	BLOC1S5
45587123	45615999	15	BLOC1S6
43758680	43807342	7	BLVRA
22321211	22331484	10	BMI1
53949736	53958761	14	BMP4
55753645	55875564	6	BMP5
57168748	57266629	20	BMP7
33904911	34155872	7	BMPER
86756650	86932838	10	BMPR1A
202376936	202567751	2	BMPR2
42782801	42834937	10	BMS1
46786674	46811989	10	BMS1P1
173144442	173164387	5	BNIP1
59659146	59689534	15	BNIP2
26382898	26505636	8	BNIP3L
173607514	173616660	5	BOD1
13568738	13627723	4	BOD1L1
241558721	241574138	2	BOK
29443056	29454964	16	BOLA2
144262102	144291370	8	BOP1
72727749	72756198	13	BORA
220057482	220090462	1	BPNT1
67825524	67984378	17	BPTF
140719327	140924764	7	BRAF
111642146	111685986	12	BRAP
2537877	2555727	7	BRAT1
155071420	155123074	X	BRCC3
49773283	49827512	22	BRD1
134030305	134068535	9	BRD3
15235519	15332545	19	BRD4
50313487	50368934	16	BRD7
138139766	138178986	5	BRD8
850291	892824	5	BRD9
91949371	92014426	1	BRDT
105209286	105315589	14	BRF1
37843268	37849904	8	BRF2
61681266	61863521	17	BRIP1
34915376	34925996	5	BRIX1
10115592	10127190	3	BRK1
66337333	66345125	11	BRMS1
222712553	222735196	1	BROX
9731729	9748018	3	BRPF1
39184176	39321559	21	BRWD1
62690275	62709845	11	BSCL2
32365103	32394731	1	BSDC1
571277	583493	19	BSG
113349541	113371233	9	BSPRY
91923769	92030325	10	BTAF1
83016422	83067354	15	BTBD1
13388001	13463297	11	BTBD10
44808482	44815585	1	BTBD19
1985438	2034881	19	BTBD2
11890723	11926609	20	BTBD3
105248490	105251093	14	BTBD6
93237550	93333092	14	BTBD7
92080305	92147836	1	BTBD8
38168451	38640148	6	BTBD9
15601341	15645822	3	BTD
52056125	52090716	1	BTF3L4
92140278	92145897	12	BTG1
203305491	203309602	1	BTG2
26402237	26415216	6	BTN3A1
26365159	26378320	6	BTN3A2
26440472	26453415	6	BTN3A3
181040225	181061523	5	BTNL9
40161023	40221136	15	BUB1B
123154277	123170467	10	BUB3
116748170	116772988	11	BUD13
99408641	99419616	7	BUD31
41921188	41933046	6	BYSL
58301228	58328760	17	BZRAP1
16646131	16706523	7	BZW2
44970981	44978810	10	C10orf10
61662961	61766766	10	C10orf107
100987367	100994401	10	C10orf2
71747559	71773498	10	C10orf54
101845599	102056193	10	C10orf76
122930903	122954403	10	C10orf88
126424997	126670446	10	C10orf90
68261335	68272001	11	C11orf24
57741250	57743554	11	C11orf31
46936689	47164385	11	C11orf49
111918032	111926872	11	C11orf52
93741591	93764749	11	C11orf54
112074086	112085150	11	C11orf57
16613132	16756881	11	C11orf58
65916808	65919117	11	C11orf68
86302211	86345931	11	C11orf73
66744451	66843328	11	C11orf80
43925342	43944338	11	C11orf96
53299686	53307177	12	C12orf10
88033846	88050160	12	C12orf29
4487728	4538508	12	C12orf4
121000486	121016502	12	C12orf43
87980035	88034037	12	C12orf50
6942978	6946003	12	C12orf57
123232916	123257959	12	C12orf65
110027028	110073686	12	C12orf76
75649791	75661189	14	C14orf1
23094765	23100462	14	C14orf119
93202894	93207094	14	C14orf142
51989475	52010691	14	C14orf166
103912288	103928269	14	C14orf2
44897295	44907257	14	C14orf28
104985775	105010482	14	C14orf79
105489855	105499575	14	C14orf80
82988441	83011641	15	C15orf40
73735431	73752747	15	C15orf59
634427	636366	16	C16orf13
15434295	15625028	16	C16orf45
31489471	31509309	16	C16orf58
9091648	9121640	16	C16orf72
46796607	46831411	16	C16orf87
1419744	1420800	16	C16orf91
4899418	4902932	17	C17orf107
7014495	7017525	17	C17orf49
67991101	67993649	17	C17orf58
82442589	82450829	17	C17orf62
56791913	56838773	17	C17orf67
32324565	32350023	17	C17orf75
73232233	73248947	17	C17orf80
81239239	81241281	17	C17orf89
35972083	35979286	18	C18orf21
46173553	46266991	18	C18orf25
49477250	49487252	18	C18orf32
23503470	23531807	18	C18orf8
29698886	29715789	19	C19orf12
1275438	1279249	19	C19orf24
1461143	1479556	19	C19orf25
16496311	16521352	19	C19orf44
40319536	40348527	19	C19orf47
40740856	40751553	19	C19orf54
10086122	10093252	19	C19orf66
5678421	5680896	19	C19orf70
68041130	68110948	2	C1D
120625793	120630150	X	C1GALT1C1
37681570	37692249	1	C1orf109
162373203	162376870	1	C1orf111
169662007	169854080	1	C1orf112
220689845	220699157	1	C1orf115
207018521	207032756	1	C1orf116
53214099	53220617	1	C1orf123
231223763	231241187	1	C1orf131
1081818	1116361	1	C1orf159
111473792	111478512	1	C1orf162
56718804	56819696	1	C1orf168
3889125	3900293	1	C1orf174
206037231	206102459	1	C1orf186
230837119	230869589	1	C1orf198
159834474	159855347	1	C1orf204
162366908	162386818	1	C1orf226
228100726	228105411	1	C1orf35
85249953	85259672	1	C1orf52
151047740	151051986	1	C1orf56
16004236	16008807	1	C1orf64
209779208	209784559	1	C1orf74
226548800	226609214	1	C1orf95
22636506	22639608	1	C1QA
22652762	22661538	1	C1QB
5432777	5448830	17	C1QBP
22643630	22648110	1	C1QC
160347751	160370641	5	C1QTNF2
37180167	37199385	22	C1QTNF6
24307166	24322535	13	C1QTNF9
7080209	7092607	12	C1R
7108052	7122501	12	C1RL-AS1
6988259	7071032	12	C1S
3249305	3407625	20	C20orf194
36605734	36612557	20	C20orf24
3753508	3768387	20	C20orf27
270863	290778	20	C20orf96
44133605	44145723	21	C21orf33
46300181	46323875	21	C21orf58
32592079	32612866	21	C21orf59
32790674	32813743	21	C21orf62
17788967	17819386	21	C21orf91
37943050	37953669	22	C22orf23
19351368	19448232	22	C22orf39
41688939	41698136	22	C22orf46
41885112	41953890	21	C2CD2
119102198	119118544	11	C2CD2L
74012714	74171210	11	C2CD3
62163535	62165283	15	C2CD4B
22448583	22544546	12	C2CD5
27576522	27582720	2	C2orf16
106063246	106078159	2	C2orf40
85606654	85612066	2	C2orf68
199911256	199955935	2	C2orf69
231037490	231049719	2	C2orf72
61145068	61164829	2	C2orf74
189879609	190203484	2	C2orf88
8058302	8066471	12	C3AR1
113002440	113019861	3	C3orf17
133928145	133929812	3	C3orf36
88149743	88168729	3	C3orf38
112086335	112131004	3	C3orf52
143971798	144048719	3	C3orf58
31982024	32002681	6	C4A
112145397	112195256	4	C4orf32
31532266	31555058	5	C5orf22
