Start	End	Chromosome	Symbol
20169919	20170354	15	IGHV1OR15-9
113621798	113623138	13	MCF2L-AS1
113663092	113663738	13	RP11-120K24.4
23119293	23169735	21	AP000475.2
113663985	113664633	13	RP11-120K24.5
113782469	113783194	13	F10-AS1
113784730	113786368	13	KARSP2
20192909	20193370	15	IGHV3OR15-7
113819316	113819497	13	RP11-98F14.11
23305635	23348000	21	AP000472.3
113930931	113932049	13	LDHBP1
20209093	20209115	15	IGHD5OR15-5A
114005988	114016183	13	GRTP1-AS1
23381263	23470778	21	AP000472.2
114123216	114130450	13	DCUN1D2-AS
20210050	20210068	15	IGHD4OR15-4A
114133230	114133393	13	RNU1-16P
114451484	114454062	13	LINC00552
20211158	20211188	15	IGHD3OR15-3A
114518603	114542321	13	GAS6-AS1
20213655	20213685	15	IGHD2OR15-2A
114567141	114569806	13	GAS6-AS2
23470936	23488847	21	LINC00308
33907816	33909414	13	RP11-141M1.1
114580581	114582349	13	RP11-199F6.4
20216406	20216422	15	IGHD1OR15-1A
33911020	33911109	13	AL138999.1
21852889	21853170	18	RN7SL247P
39981433	39992515	HG185_PATCH	NT5C3B
23507018	23508403	21	AP000705.8
33929343	34250905	13	RP11-141M1.3
21901650	21901699	18	MIR320C2
114581673	114586624	13	LINC00454
21944751	21947948	18	RP11-621L6.2
21982117	21982678	18	RP11-621L6.3
34185104	34185659	13	RP11-37L2.1
34231573	34234065	13	RP11-179A7.2
22009469	22009573	18	Y_RNA
22015328	22019602	18	RP11-178F10.1
34403676	34403786	13	RNU5A-4P
34486129	34486218	13	AL161891.1
34656566	34657447	13	VDAC1P12
114586640	114626485	13	LINC00452
34674848	34674975	13	SNORA25
20737094	20747114	15	GOLGA6L6
34922180	35188307	13	RP11-16D22.2
35009587	35214822	13	LINC00457
23526270	23526619	21	AP000705.6
114629487	114631817	13	LINC00565
35120066	35245319	13	RP11-266E6.3
23577511	23577651	21	RNU4-45P
114873044	114874295	13	RASA3-IT1
23582258	23793139	21	AP000705.7
35148341	35148803	13	GAMTP2
115009980	115010036	13	MIR548AR
35499971	35502213	13	RP11-307O13.1
23808610	23810669	21	MAPK6PS2
115039303	115039383	13	MIR4502
35759431	35760816	13	SCAND3P1
115072121	115072541	13	CLCP2
35825207	35825966	13	PHBP13
115095034	115099423	13	LINC01054
21004687	21005367	15	AC012414.1
36068551	36068674	13	AL390071.1
36271661	36273393	13	LINC00445
36841305	36841411	13	RNU6-71P
10862622	10863067	21	IGHV1OR21-1
36929928	36930015	13	AL139377.1
37064215	37064578	13	HIST1H2APS6
37302739	37302829	13	AL136160.1
37314178	37315000	13	GAPDHP34
37316015	37316602	13	TCEAL4P1
37363469	37369187	13	ARL2BPP3
39991937	40004636	HG185_PATCH	KLHL10
21040701	21071643	15	POTEB2
37378335	37379439	13	NDE1P2
37423503	37424183	13	SMAD9-AS1
37496676	37497045	13	LAMTOR3P1
37500575	37501356	13	RPL29P28
37512537	37513631	13	EIF4A1P5
37608814	37608929	13	AL138706.1
37740489	37740795	13	RN7SKP1
37794997	37795383	13	RPS12P24
23872924	23892377	21	AP000959.2
38055604	38058906	13	LINC01048
24052992	24053286	21	RN7SL609P
38428989	38429107	13	RNA5SP26
24254903	24256321	21	AP000949.1
38567222	38568857	13	HSPD1P9
24437813	24503528	21	AP001255.2
40009797	40021683	HG185_PATCH	KLHL11
38624954	38717369	13	LINC00571
24462350	24464153	21	ZNF299P
39107480	39119436	13	LINC00437
24473545	24475396	21	MSANTD2P1
39150777	39153131	13	LINC00366
24654058	24654231	21	RNU2-55P
39191556	39192077	13	PRDX3P3
24733426	24757182	21	AP000459.4
39353561	39353653	13	RNU6-56P
39364781	39364891	13	AL590007.1
21215823	21215845	15	IGHD5OR15-5B
39395935	39401707	13	FREM2-AS1
39476524	39476787	13	PLA2G12AP2
21216780	21216798	15	IGHD4OR15-4B
39496864	39510336	13	ANKRD26P2
24762579	24763317	21	EEF1A1P1
21217888	21217918	15	IGHD3OR15-3B
39743773	39744088	13	NXT1P1
21220377	21220407	15	IGHD2OR15-2B
40021252	40021353	13	snoU13
40226715	40226806	13	AL512505.1
40238171	40238272	13	MIR4305
24779978	24781448	21	TUBAP
40359552	40359647	13	RNY4P14
40391878	40392186	13	CDKN2AIPNLP3
49280673	49338760	15	SECISBP2L
40430847	40431231	13	AZU1P1
40431272	40431364	13	SNORD116
21223129	21223145	15	IGHD1OR15-1B
40755946	40763165	13	LINC00332
40798762	40798999	13	RPL17P51
40800964	40801069	13	RNY3P9
22011370	22012050	15	DKFZP547L112
40918094	40924440	13	RP11-172E9.2
40981259	40981577	13	RN7SKP2
41025131	41055143	13	LINC00598
41192875	41195485	13	RLIMP1
41301964	41302011	13	MIR320D1
41384902	41384997	13	MIR621
41396432	41495890	13	TPTE2P5
22051853	22083227	15	POTEB
10906201	11029719	21	TPTE
40023160	40075239	HG185_PATCH	ACLY
41437735	41438038	13	CYCSP34
41482295	41495910	13	SUGT1P3
41566915	41567467	13	RGS17P1
41675155	41675236	13	MIR3168
24804501	24804602	21	Y_RNA
41696012	41696305	13	RN7SL597P
24849960	24863043	21	AP000459.7
41744836	41745284	13	CALM2P3
25261114	25262857	21	AP000474.1
41754117	41754223	13	snoU13
41773968	41774943	13	MORF4L1P4
25333220	25339588	21	AP000477.2
41861877	41862456	13	RAC1P3
25415572	25422601	21	AP000477.3
22069339	22071044	18	RP11-178F10.2
41928693	41928795	13	RNU6-57P
25527484	25560655	21	AP000470.2
22096847	22097970	18	RP11-178F10.3
41958909	41959319	13	TUBBP2
25676863	25693690	21	AP000469.2
22102237	22102883	18	RP11-178F10.4
42005425	42006446	13	OR7E36P
25801054	25920256	21	AP000476.1
22208146	22242162	18	RP11-449D8.1
42013952	42015035	13	OR7E155P
22253127	22254312	18	RP11-449D8.2
22265736	22266315	18	RAC1P1
42016906	42017786	13	OR7E37P
22269878	22270125	18	RP11-449D8.3
42019427	42019503	13	AL354833.1
22305745	22509040	18	RP11-449D8.5
42020193	42020261	13	AL354833.2
42024148	42024235	13	AL354833.3
42142422	42142531	13	MIR5006
42381813	42382108	13	RN7SL515P
42479254	42479360	13	RNU6-74P
22513451	22567646	18	RP11-958F21.1
42499734	42501485	13	KARSP1
22596398	22597168	18	WBP2P1
42577566	42577773	13	RPS28P8
42617863	42618383	13	RP11-187A9.3
22635564	22636724	18	RP11-958F21.3
42643068	42645229	13	MAPK6PS3
22882090	22882920	18	CTD-2006O16.2
42747126	42747223	13	AL139328.1
23398200	23398496	18	RN7SL97P
42755601	42756057	13	CHCHD2P11
23533180	23533432	18	RP11-737G21.1
42830009	42830711	13	FHP1
23678803	23679190	18	RPS24P18
40086887	40121903	HG185_PATCH	TTC25
42943374	42943793	13	FABP3P2
23749724	23751313	18	DHFRP1
43384502	43386698	13	LINC01050
43416550	43417023	13	LINC00428
23784833	23785868	18	NPM1P2
43507994	43509028	13	ZDHHC4P1
14741931	14745386	21	AL050302.1
23835662	23836319	18	FAM60BP
43732767	43733602	13	LINC00400
43968661	43968961	13	RPL36P19
23845973	23847373	18	RP11-25D3.1
44032601	44033259	13	ENOX1-AS2
23879079	23879219	18	U3
44118054	44122192	13	ENOX1-AS1
23928311	23928968	18	RP11-107K17.2
44361727	44361988	13	RP11-168P13.1
23946265	23946370	18	RNU6-1289P
24002959	24006065	18	RP11-107K17.1
14982498	15013906	21	POTED
24166678	24166762	18	AC090206.1
44482850	44604597	13	LINC00284
24179372	24180302	18	CIAPIN1P
40122993	40131428	HG185_PATCH	CNP
15051621	15053459	21	AL050303.1
24235706	24770662	18	AQP4-AS1
44542560	44545335	13	DGKZP1
13217497	13652754	18	LDLRAD4
44680514	44711372	13	LINC00390
44716682	44813010	13	SMIM2-AS1
24267585	24283602	18	U3
44720606	44732358	13	SMIM2-IT1
24268075	24269632	18	RP11-17A19.2
44808254	44817328	13	RP11-478K15.6
24402777	24403943	18	RP11-552O4.1
44974386	44980120	13	LINC01071
24411484	24412396	18	RP11-552O4.2
24532165	24532522	18	RP11-526I8.2
45011343	45026963	13	RP11-71C5.2
24805706	24827152	18	RP11-57J16.1
40132691	40173905	HG185_PATCH	DNAJC7
45168994	45170218	13	SMARCE1P5
15481134	15583166	21	LIPI
45202705	45202809	13	snoU13
45225948	45275152	13	LINC00407
45373639	45383766	13	LINC00330
45556212	45657260	13	RP11-321C24.1
45576285	45576580	13	RN7SL49P
45634864	45635221	13	RN7SKP3
45697228	45697549	13	7SK
45711997	45712100	13	RNU6-69P
45837825	45838050	13	RP11-290D2.5
45874149	45874235	13	AL138963.1
45910449	45910582	13	SNORA31
45911615	45911744	13	SNORA31
45914174	45915318	13	RP11-290D2.6
15588451	15600693	21	RBM11
22368478	22369561	15	OR4M2
26212864	26430059	21	AP000235.2
40173272	40181893	HG185_PATCH	NKIRAS2
22382382	22383507	15	OR4N4
45915480	45965872	13	TPT1-AS1
26258990	26275070	21	AP000402.3
26310745	26365129	21	AP000146.2
22448382	22448819	15	IGHV1OR15-1
22456895	22460351	15	AC010760.1
22472918	22473353	15	IGHV4OR15-8
26403318	26403842	21	AP001342.1
26427848	26442219	21	AP000235.3
15743436	15755805	21	HSPA13
40181828	40219330	HG185_PATCH	ZNF385C
45924458	45925485	13	RP11-290D2.3
45964486	45965402	13	RCN1P2
45992297	45994506	13	SLC25A30-AS1
46010256	46010795	13	PPIAP25
46125620	46125738	13	RNA5SP27
22736246	22746002	15	GOLGA6L1
46126998	46127271	13	TIMM9P3
46245980	46246526	13	COX4I1P2
46255225	46256554	13	LINC01055
26467335	26475983	21	7SK
46261683	46262604	13	AKR1B1P4
40257656	40268985	HG185_PATCH	DHX58
26499782	26507561	21	AP000233.3
46626941	46687467	13	CPB2-AS1
26541745	26706139	21	AP000233.4
26574521	26574629	21	RNA5SP489
46743594	46743883	13	RN7SL288P
46809805	46809908	13	snoU13
46824077	46824348	13	RN7SKP5
46844212	46844752	13	FAM206BP
46870580	46871979	13	LINC00563
46948536	46948725	13	RNU2-6P
46984589	46984692	13	RNU6-68P
49398268	49447858	15	COPS2
15857549	15955723	21	SAMSN1
46917102	47012325	13	PPP1R2P4
40269360	40277610	HG185_PATCH	KAT2A
15964251	16031142	21	AF165138.7
47029270	47060641	13	RP11-189B4.6
47034744	47035256	13	OR7E101P
47064997	47065397	13	COX17P1
40277683	40279604	HG185_PATCH	HSPB9
47079253	47079571	13	FKBP1AP3
47426278	47430434	13	HTR2A-AS1
47881217	47881436	13	GNG5P5
48033078	48033369	13	RN7SL700P
48337595	48338741	13	NAP1L4P3
48340775	48341220	13	RPL27AP8
40281228	40311269	HG185_PATCH	RAB5C
48399465	48410091	13	RP11-279N8.1
22833395	22873892	15	TUBGCP5
48479464	48481492	13	LINC00444
48504290	48506757	13	LINC00562
48575525	48576688	13	SUCLA2-AS1
39874406	39874512	HG185_PATCH	5S_rRNA
48651273	48654127	13	MED4-AS1
39886381	39886657	HG185_PATCH	Metazoa_SRP
39993316	39993580	HG185_PATCH	Metazoa_SRP
48708494	48708670	13	POLR2KP2
40004770	40007699	HG185_PATCH	RP11-156E6.1
48870649	48877797	13	LINC00441
24916343	25175128	18	RP11-739N10.1
48890999	48894611	13	PPP1R26P1
48902220	48902700	13	PCNPP5
49144775	49147453	13	LINC01077
16333556	16437321	21	NRIP1
49151110	49152224	13	LINC00462
24923216	24926074	18	RP11-26N15.2
49326225	49326292	13	AL137118.1
49345264	49345965	13	PSME2P2
24935370	24935728	18	UBA52P9
49504256	49504348	13	AL161421.1
49562051	49562153	13	RNU6-60P
24977916	24981868	18	RP11-612A1.1
49618215	49620930	13	RAD17P2
24998848	25000399	18	RBM22P1
49669527	49669628	13	RNY3P2
49761615	49761806	13	COX7CP1
25032478	25033621	18	PA2G4P3
49784558	49786430	13	OGFOD1P1
25534483	25543651	18	AC015933.2
50063106	50063500	13	SNRPGP14
41028082	41048049	15	RMDN3
26231696	26233172	18	ARIH2P1
50194450	50194784	13	RP11-432M24.4
62399863	62491136	HG183_PATCH	PECAM1
26365032	26369224	18	RP11-510D21.1
50243040	50243254	13	AL135901.1
26404616	26404790	18	RP11-510D21.2
50463770	50463864	13	RNY4P30
50464727	50467134	13	CTAGE10P
26628584	26628683	18	RNU6-408P
26675539	26675643	18	AC090349.1
50482770	50482866	13	RNY4P9
26776406	26776492	18	AC105245.1
50526670	50526750	13	AL136123.1
50570551	50570637	13	MIR3613
26836782	26837025	18	CTD-2515C13.1
62929371	62937490	15	RP11-625H11.1
26858474	26941928	18	CTD-2515C13.2
27063293	27063388	18	AC091321.1
27098224	27128206	18	RP11-784B15.1
28293241	28294252	18	RP11-675P14.1
28534786	28560883	18	RP11-25I11.1
28564072	28564181	18	RNU6-857P
28638806	28639359	18	RP11-408H20.1
50601269	50699856	13	DLEU2
28652470	28652573	18	snoU13
26711319	26711413	21	AP001340.1
28681551	28742752	18	RP11-408H20.2
26734135	26734745	21	RPL13AP7
28711419	28712457	18	RP11-408H20.3
26758133	26804013	21	LINC00158
28923331	29006951	18	RP11-534N16.1
26842421	26842513	21	snoU13
26887785	26890650	21	AP000221.1
50623109	50623197	13	MIR16-1
28925325	28925430	18	RNU6-167P
50673467	50674004	13	RPL18P10
26934221	26947480	21	MIR155HG
28962280	28962393	18	Y_RNA
29076608	29077158	18	RP11-650P15.1
50746225	50747317	13	ST13P4
26955082	26955638	21	LINC00515
29122109	29136874	18	RP11-75N4.2
27015801	27016528	21	RNGTTP1
50935546	50935899	13	RPL34P26
27064492	27064866	21	FDX1P2
62526397	62546003	HG183_PATCH	MILR1
29249252	29249341	18	RNU6-1002P
50937284	50937373	13	AL138696.1
27135249	27135644	21	AP000226.9
51095069	51101585	13	RP11-175B12.2
29265618	29266786	18	RP11-549B18.1
29298856	29299171	18	RN7SKP44
41056218	41059906	15	GCHFR
29304161	29306919	18	LRRC37A7P
27306373	27315001	21	AP001442.2
29306006	29306360	18	RP11-549B18.3
51381992	51423190	13	DLEU7-AS1
27315359	27315460	21	RNU6-123P
29424351	29425141	18	RP11-210K20.2
51387124	51387242	13	RNA5SP28
27530409	27548142	21	AP001439.2
29462583	29462865	18	RP11-210K20.3
29464821	29465106	18	RP11-210K20.4
27543189	27589700	21	AP000230.1
29517496	29517602	18	RNU6-1050P
51450822	51484848	13	RNASEH2B-AS1
29522538	29524119	18	RP11-326K13.4
27563026	27563132	21	RNU6-926P
29542141	29543581	18	PGDP1
27722099	27722953	21	AP001595.1
29546923	29547508	18	RP11-326K13.2
27750871	27844017	21	AP001596.6
29598792	29691742	18	RP11-53I6.2
29640868	29640952	18	AC009831.1
29655848	29656235	18	RP11-53I6.1
29671258	29672082	18	RP11-53I6.3
29674467	29674569	18	snoU13
62555145	62574426	HG183_PATCH	POLG2
29702363	29704441	18	RP11-53I6.4
29756013	29756131	18	RNA5SP453
29775989	29776929	18	RP11-53I6.5
29825909	29828995	18	RP11-344B2.3
29843098	29843201	18	Y_RNA
29867400	29870303	18	RP11-344B2.2
29991471	29993167	18	HNRNPA1P7
30091626	30094597	18	WBP11P1
41060067	41099675	15	DNAJC17
30106105	30106185	18	AC009835.1
13663346	13726662	18	FAM210A
30161491	30162791	18	RP11-386P4.1
51568647	51654998	13	GUCY1B2
17102344	17252377	21	USP25
27765954	27941571	21	AP001597.1
27832222	27832533	21	KB-1466C5.1
28261695	28312061	21	AP001601.2
28326280	28326362	21	MIR4759
28515663	28516268	21	GPX1P2
28731204	28820898	21	AP001604.3
28733483	28768106	21	AP001605.4
51601883	51601988	13	RNA5SP29
51656984	51746524	13	LINC00371
51735859	51736493	13	RPL5P31
51770017	51770217	13	SLMO2P2
62576980	62585072	HG183_PATCH	DDX5
51922703	51922775	13	MIR5693
51935701	51936371	13	RP11-24B19.4
51936795	51937579	13	RP11-24B19.3
44259081	44339220	18	ST8SIA5
52026503	52126500	13	INTS6-AS1
18811208	18821503	21	C21orf37
54785613	54785684	HSCHR19LRC_COX2_CTG1	MIR4752
55043099	55043205	HSCHR19LRC_COX2_CTG1	U6
52028300	52035451	13	RPS4XP16
52043886	52044181	13	RN7SL320P
